@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute total_fvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,52,57,10,55086,270027846,remoteForwarding
52,52,57,11,76992,189291694,remoteForwarding
52,52,57,10,54712,275215398,remoteForwarding
52,52,58,10,93883,154379326,remoteForwarding
52,52,58,70,107404,126764270,remoteForwarding
52,52,58,73,107938,126434778,remoteForwarding
52,52,58,11,57178,266125822,remoteForwarding
52,52,57,10,56186,267020794,remoteForwarding
52,52,57,10,55087,271818410,remoteForwarding
52,52,57,11,76981,190520330,remoteForwarding
52,52,57,10,54683,276958402,remoteForwarding
52,52,58,10,93746,155694154,remoteForwarding
52,52,58,70,107398,127673750,remoteForwarding
52,52,58,73,107855,127344258,remoteForwarding
52,52,58,11,57185,267862102,remoteForwarding
52,52,57,10,56190,268741166,remoteForwarding
52,52,57,10,55085,273539422,remoteForwarding
52,52,57,11,76977,191843210,remoteForwarding
52,52,57,10,54674,278774434,remoteForwarding
52,52,58,10,93815,156603634,remoteForwarding
52,52,58,70,107423,128583230,remoteForwarding
52,52,58,73,107881,128253738,remoteForwarding
52,52,58,11,57169,269751982,remoteForwarding
52,52,57,10,56171,270627274,remoteForwarding
52,52,57,10,55068,275438278,remoteForwarding
52,52,57,11,77041,193000730,remoteForwarding
52,52,57,10,54672,280561006,remoteForwarding
52,52,58,10,93900,157595794,remoteForwarding
52,52,58,70,107385,129492710,remoteForwarding
52,52,58,73,107908,129163218,remoteForwarding
52,52,58,11,57156,271562890,remoteForwarding
52,52,57,10,56163,272450918,remoteForwarding
52,52,57,10,55026,277198222,remoteForwarding
52,52,57,11,77064,194323610,remoteForwarding
52,52,57,10,54655,282332154,remoteForwarding
52,52,58,10,93944,158670634,remoteForwarding
52,52,58,70,107425,130402190,remoteForwarding
52,52,58,73,107949,130072698,remoteForwarding
52,52,58,11,57152,273369982,remoteForwarding
52,52,57,10,56161,274258022,remoteForwarding
52,52,57,10,55032,279009174,remoteForwarding
52,52,57,11,77061,195642438,remoteForwarding
52,52,57,10,54644,284135638,remoteForwarding
52,52,58,10,93963,159662794,remoteForwarding
52,52,58,70,107415,131311670,remoteForwarding
52,52,58,73,107937,130982178,remoteForwarding
52,52,58,11,57159,275106262,remoteForwarding
52,52,57,10,56157,276065802,remoteForwarding
52,52,57,10,55027,280808522,remoteForwarding
52,52,57,11,76964,197114918,remoteForwarding
52,52,57,10,54643,285934646,remoteForwarding
52,52,58,10,94019,160655002,remoteForwarding
52,52,58,70,107459,132221150,remoteForwarding
52,52,58,73,107976,131891658,remoteForwarding
52,52,58,11,57158,276925222,remoteForwarding
52,52,57,10,56160,277880902,remoteForwarding
52,52,57,10,55018,282616114,remoteForwarding
52,52,57,11,76972,198437798,remoteForwarding
52,52,57,10,54638,287717558,remoteForwarding
52,52,58,10,94038,161729842,remoteForwarding
52,52,58,70,107508,133130630,remoteForwarding
52,52,58,73,107881,132801138,remoteForwarding
52,52,58,11,57159,278744182,remoteForwarding
52,52,57,10,56162,279625666,remoteForwarding
52,52,57,10,55024,284427018,remoteForwarding
52,52,57,11,76976,199760822,remoteForwarding
52,52,57,10,54640,289429438,remoteForwarding
52,52,58,10,94062,162804682,remoteForwarding
52,52,58,70,107556,133949234,remoteForwarding
52,52,58,73,107863,133710618,remoteForwarding
52,52,58,11,57162,280554946,remoteForwarding
52,52,57,10,56152,281421502,remoteForwarding
52,52,57,10,55035,286147198,remoteForwarding
52,52,57,11,76914,201249346,remoteForwarding
52,52,57,10,54634,291315322,remoteForwarding
52,52,58,10,94131,163706014,remoteForwarding
52,52,58,70,107586,134941394,remoteForwarding
52,52,58,73,107885,134620098,remoteForwarding
52,52,58,11,57152,282373906,remoteForwarding
52,52,57,10,56139,283299142,remoteForwarding
52,52,57,10,55024,288033330,remoteForwarding
52,52,57,11,76972,202406866,remoteForwarding
52,52,57,10,54649,293051842,remoteForwarding
52,52,58,10,94101,164855482,remoteForwarding
52,52,58,70,107498,135747802,remoteForwarding
52,52,58,73,107889,135517286,remoteForwarding
52,52,58,11,57156,284193058,remoteForwarding
52,52,57,10,56150,284999030,remoteForwarding
52,52,57,10,55013,289751218,remoteForwarding
52,52,57,11,76840,203949734,remoteForwarding
52,52,57,10,54659,294870946,remoteForwarding
52,52,58,10,94115,165930322,remoteForwarding
52,52,58,70,107540,136657282,remoteForwarding
52,52,58,73,107792,136422714,remoteForwarding
52,52,58,11,57154,286007966,remoteForwarding
52,52,57,10,56150,286793882,remoteForwarding
52,52,57,10,55002,291563398,remoteForwarding
52,52,57,11,76874,205189982,remoteForwarding
52,52,57,10,54671,296689906,remoteForwarding
52,52,58,10,94171,166922482,remoteForwarding
52,52,58,70,107575,137566762,remoteForwarding
52,52,58,73,107829,137332194,remoteForwarding
52,52,58,11,57151,287826926,remoteForwarding
52,52,57,10,56154,288608790,remoteForwarding
52,52,57,10,55008,293378598,remoteForwarding
52,52,57,11,76891,206500566,remoteForwarding
52,52,57,10,54673,298509746,remoteForwarding
52,52,58,10,94088,168059902,remoteForwarding
52,52,58,70,107436,138476242,remoteForwarding
52,52,58,73,107887,138241674,remoteForwarding
52,52,58,11,57155,289555058,remoteForwarding
52,52,57,10,56165,290345210,remoteForwarding
52,52,57,10,55019,295115366,remoteForwarding
52,52,57,11,76869,207919002,remoteForwarding
52,52,57,10,54681,300328898,remoteForwarding
52,52,58,10,94124,169134742,remoteForwarding
52,52,58,70,107458,139377574,remoteForwarding
52,52,58,73,107921,139151154,remoteForwarding
52,52,58,11,57151,291374018,remoteForwarding
52,52,57,10,56166,292164218,remoteForwarding
52,52,57,10,55005,296886226,remoteForwarding
52,52,57,11,76884,209159202,remoteForwarding
52,52,57,10,54688,302045318,remoteForwarding
52,52,58,10,94151,170114658,remoteForwarding
52,52,58,70,107366,140291298,remoteForwarding
52,52,58,73,107898,140052438,remoteForwarding
52,52,58,11,57153,293192978,remoteForwarding
52,52,57,10,56166,293963118,remoteForwarding
