@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute max_biat numeric
@attribute proto numeric
@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,8199,16436,7982,57,16,3,548035,133685,10,546932,6,32932,270027846,27024,1565109,remoteForwarding
52,8242,16436,8018,57,17,3,898225,194462,11,897290,6,22966,189291694,18809,1090697,remoteForwarding
52,8223,16436,7947,57,16,13,546798,133764,10,545711,6,33468,275215398,27698,1603229,remoteForwarding
52,8244,16436,8074,58,17,14,981463,232555,10,980232,6,18726,154379326,15238,884413,remoteForwarding
52,8251,16436,8139,58,18,42,1013839,263503,70,999762,6,15362,126764270,12333,717129,remoteForwarding
52,8256,16436,8158,58,18,17,1020445,264180,73,999483,6,15313,126434778,12273,713817,remoteForwarding
52,8257,16436,8082,58,16,14,830258,136652,11,829067,6,32230,266125822,26019,1510113,remoteForwarding
52,8247,16436,7984,57,16,15,703986,135168,10,703322,6,32377,267020794,26397,1530777,remoteForwarding
52,8199,16436,7981,57,16,3,548035,133698,10,546932,6,33149,271818410,27206,1575629,remoteForwarding
52,8241,16436,8016,57,17,3,898225,194525,11,897290,6,23117,190520330,18942,1098333,remoteForwarding
52,8221,16436,7943,57,16,13,546798,133781,10,545711,6,33687,276958402,27899,1614737,remoteForwarding
52,8244,16436,8073,58,17,14,981463,232288,10,980232,6,18885,155694154,15370,892045,remoteForwarding
52,8251,16436,8140,58,18,42,1013839,263520,70,999762,6,15472,127673750,12421,722233,remoteForwarding
52,8256,16436,8158,58,18,17,1020445,264094,73,999483,6,15423,127344258,12361,718921,remoteForwarding
52,8257,16436,8082,58,16,14,830258,136664,11,829067,6,32440,267862102,26187,1519857,remoteForwarding
52,8247,16436,7984,57,16,15,703986,135192,10,703322,6,32586,268741166,26569,1540729,remoteForwarding
52,8199,16436,7980,57,16,3,548035,133718,10,546932,6,33362,273539422,27384,1585893,remoteForwarding
52,8241,16436,8017,57,17,3,898225,194489,11,897290,6,23277,191843210,19070,1105757,remoteForwarding
52,8220,16436,7943,57,16,13,546798,133759,10,545711,6,33911,278774434,28082,1625309,remoteForwarding
52,8244,16436,8074,58,17,14,981463,232422,10,980232,6,18995,156603634,15458,897149,remoteForwarding
52,8252,16436,8140,58,18,42,1013839,263525,70,999762,6,15582,128583230,12509,727337,remoteForwarding
52,8256,16436,8158,58,18,17,1020445,264105,73,999483,6,15533,128253738,12449,724025,remoteForwarding
52,8256,16436,8081,58,16,14,830258,136634,11,829067,6,32670,269751982,26374,1530685,remoteForwarding
52,8247,16436,7982,57,16,15,703986,135171,10,703322,6,32813,270627274,26761,1551817,remoteForwarding
52,8198,16436,7979,57,16,3,548035,133694,10,546932,6,33596,275438278,27579,1597137,remoteForwarding
52,8241,16436,8018,57,17,3,898225,194629,11,897290,6,23417,193000730,19182,1112253,remoteForwarding
52,8220,16436,7943,57,16,13,546798,133754,10,545711,6,34130,280561006,28264,1635829,remoteForwarding
52,8244,16436,8075,58,17,14,981463,232587,10,980232,6,19115,157595794,15554,902717,remoteForwarding
52,8252,16436,8140,58,18,42,1013839,263458,70,999762,6,15692,129492710,12597,732441,remoteForwarding
52,8256,16436,8158,58,18,17,1020445,264119,73,999483,6,15643,129163218,12537,729129,remoteForwarding
52,8256,16436,8081,58,16,14,830258,136613,11,829067,6,32889,271562890,26553,1541049,remoteForwarding
52,8247,16436,7983,57,16,15,703986,135152,10,703322,6,33036,272450918,26941,1562233,remoteForwarding
52,8195,16436,7976,57,16,3,548035,133668,10,546932,6,33822,277198222,27780,1608645,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194670,11,897290,6,23577,194323610,19310,1119677,remoteForwarding
52,8219,16436,7940,57,16,13,546798,133749,10,545711,6,34349,282332154,28455,1646817,remoteForwarding
52,8244,16436,8075,58,17,14,981463,232669,10,980232,6,19245,158670634,15658,908749,remoteForwarding
52,8252,16436,8140,58,18,42,1013839,263501,70,999762,6,15802,130402190,12685,737545,remoteForwarding
52,8257,16436,8158,58,18,17,1020445,264172,73,999483,6,15753,130072698,12625,734233,remoteForwarding
52,8257,16436,8080,58,16,14,830258,136603,11,829067,6,33106,273369982,26729,1551257,remoteForwarding
52,8246,16436,7983,57,16,15,703986,135146,10,703322,6,33256,274258022,27119,1572545,remoteForwarding
52,8196,16436,7976,57,16,3,548035,133674,10,546932,6,34040,279009174,27958,1618957,remoteForwarding
52,8242,16436,8019,57,17,3,898225,194667,11,897290,6,23736,195642438,19440,1127205,remoteForwarding
