@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute proto numeric
@attribute total_fvolume numeric
@attribute class {TELNET,FTP,HTTP,DNS,lime,localForwarding,remoteForwarding,scp,sftp,x11,shell}

@data
52,52,756,10,55086,6,270027846,remoteForwarding
52,52,756,11,76992,6,189291694,remoteForwarding
52,52,756,10,54712,6,275215398,remoteForwarding
52,52,756,10,93883,6,154379326,remoteForwarding
52,52,756,70,107404,6,126764270,remoteForwarding
52,52,756,73,107938,6,126434778,remoteForwarding
52,52,756,11,57178,6,266125822,remoteForwarding
52,52,756,10,56186,6,267020794,remoteForwarding
52,52,756,10,55087,6,271818410,remoteForwarding
52,52,756,11,76981,6,190520330,remoteForwarding
52,52,756,10,54683,6,276958402,remoteForwarding
52,52,756,10,93746,6,155694154,remoteForwarding
52,52,756,70,107398,6,127673750,remoteForwarding
52,52,756,73,107855,6,127344258,remoteForwarding
52,52,756,11,57185,6,267862102,remoteForwarding
52,52,756,10,56190,6,268741166,remoteForwarding
52,52,756,10,55085,6,273539422,remoteForwarding
52,52,756,11,76977,6,191843210,remoteForwarding
52,52,756,10,54674,6,278774434,remoteForwarding
52,52,756,10,93815,6,156603634,remoteForwarding
52,52,756,70,107423,6,128583230,remoteForwarding
52,52,756,73,107881,6,128253738,remoteForwarding
52,52,756,11,57169,6,269751982,remoteForwarding
52,52,756,10,56171,6,270627274,remoteForwarding
52,52,756,10,55068,6,275438278,remoteForwarding
52,52,756,11,77041,6,193000730,remoteForwarding
52,52,756,10,54672,6,280561006,remoteForwarding
52,52,756,10,93900,6,157595794,remoteForwarding
52,52,756,70,107385,6,129492710,remoteForwarding
52,52,756,73,107908,6,129163218,remoteForwarding
52,52,756,11,57156,6,271562890,remoteForwarding
52,52,756,10,56163,6,272450918,remoteForwarding
52,52,756,10,55026,6,277198222,remoteForwarding
52,52,756,11,77064,6,194323610,remoteForwarding
52,52,756,10,54655,6,282332154,remoteForwarding
52,52,756,10,93944,6,158670634,remoteForwarding
52,52,756,70,107425,6,130402190,remoteForwarding
52,52,756,73,107949,6,130072698,remoteForwarding
52,52,756,11,57152,6,273369982,remoteForwarding
52,52,756,10,56161,6,274258022,remoteForwarding
52,52,756,10,55032,6,279009174,remoteForwarding
52,52,756,11,77061,6,195642438,remoteForwarding
52,52,756,10,54644,6,284135638,remoteForwarding
52,52,756,10,93963,6,159662794,remoteForwarding
52,52,756,70,107415,6,131311670,remoteForwarding
52,52,756,73,107937,6,130982178,remoteForwarding
52,52,756,11,57159,6,275106262,remoteForwarding
52,52,756,10,56157,6,276065802,remoteForwarding
52,52,756,10,55027,6,280808522,remoteForwarding
52,52,756,11,76964,6,197114918,remoteForwarding
52,52,756,10,54643,6,285934646,remoteForwarding
52,52,756,10,94019,6,160655002,remoteForwarding
52,52,756,70,107459,6,132221150,remoteForwarding
52,52,756,73,107976,6,131891658,remoteForwarding
52,52,756,11,57158,6,276925222,remoteForwarding
52,52,756,10,56160,6,277880902,remoteForwarding
52,52,756,10,55018,6,282616114,remoteForwarding
52,52,756,11,76972,6,198437798,remoteForwarding
52,52,756,10,54638,6,287717558,remoteForwarding
52,52,756,10,94038,6,161729842,remoteForwarding
52,52,756,70,107508,6,133130630,remoteForwarding
52,52,756,73,107881,6,132801138,remoteForwarding
52,52,756,11,57159,6,278744182,remoteForwarding
52,52,756,10,56162,6,279625666,remoteForwarding
52,52,756,10,55024,6,284427018,remoteForwarding
52,52,756,11,76976,6,199760822,remoteForwarding
52,52,756,10,54640,6,289429438,remoteForwarding
52,52,756,10,94062,6,162804682,remoteForwarding
52,52,756,70,107556,6,133949234,remoteForwarding
52,52,756,73,107863,6,133710618,remoteForwarding
